date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-05-19,sh.600000,6.72159312,6.77251428,6.69613254,6.71310626,19904191,157705908.85,0.0678,-0.5031
2022-05-20,sh.600000,6.73856684,6.8319223,6.72159312,6.82343544,32699572,262095154.1,0.1114,1.6435
2022-05-23,sh.600000,6.84040916,6.84040916,6.7470537,6.7470537,25527572,203770115.6,0.087,-1.1194
2022-05-24,sh.600000,6.75554056,6.76402742,6.67915882,6.68764568,26028514,205916168.03,0.0887,-0.8805
2022-05-25,sh.600000,6.72159312,6.73007998,6.6621851,6.68764568,21003364,165613956.59,0.0716,0.0
2022-05-26,sh.600000,6.69613254,6.72159312,6.65369824,6.7046194,23401589,184331253.01,0.0797,0.2538
2022-05-27,sh.600000,6.72159312,6.79797486,6.68764568,6.789488,31755338,252802576.64,0.1082,1.2658
2022-05-30,sh.600000,6.79797486,6.80646172,6.67915882,6.68764568,35696257,282538705.14,0.1216,-1.5
2022-05-31,sh.600000,6.7046194,6.77251428,6.68764568,6.73856684,31750884,251916051.21,0.1082,0.7614
2022-06-01,sh.600000,6.73856684,6.73856684,6.69613254,6.71310626,18401941,145647638.39,0.0627,-0.3778
2022-06-02,sh.600000,6.69613254,6.71310626,6.67915882,6.69613254,18931116,149199713.01,0.0645,-0.2528
2022-06-06,sh.600000,6.67915882,6.7046194,6.63672452,6.67067196,33010527,259403166.92,0.1125,-0.3802
2022-06-07,sh.600000,6.65369824,6.69613254,6.64521138,6.68764568,30623076,240941764.48,0.1043,0.2545
2022-06-08,sh.600000,6.67915882,6.68764568,6.64521138,6.67067196,39555666,310775180.47,0.1348,-0.2538
2022-06-09,sh.600000,6.67067196,6.75554056,6.65369824,6.7470537,60606956,480180511.56,0.2065,1.145
2022-06-10,sh.600000,6.73007998,6.8319223,6.69613254,6.73007998,123446198,984436172.52,0.4206,-0.2516
2022-06-13,sh.600000,6.71310626,6.73007998,6.56882964,6.59429022,104597235,816472114.77,0.3564,-2.0177
2022-06-14,sh.600000,6.56882964,6.69613254,6.56034278,6.67915882,55047795,428964423.99,0.1875,1.287
2022-06-15,sh.600000,6.67067196,6.89981718,6.6621851,6.81494858,112759058,906495919.18,0.3842,2.033
2022-06-16,sh.600000,6.8319223,6.85738288,6.72159312,6.72159312,56889689,453897643.13,0.1938,-1.3699
2022-06-17,sh.600000,6.71310626,6.789488,6.69613254,6.76402742,35612494,283173437.15,0.1213,0.6313
2022-06-20,sh.600000,6.7470537,6.77251428,6.71310626,6.71310626,30065154,238320268.45,0.1024,-0.7528
2022-06-21,sh.600000,6.72159312,6.77251428,6.72159312,6.76402742,23245677,185071903.23,0.0792,0.7585
2022-06-22,sh.600000,6.75554056,6.76402742,6.71310626,6.72159312,20635582,163685600.62,0.0703,-0.6274
2022-06-23,sh.600000,6.73856684,6.76402742,6.71310626,6.76402742,23255144,184864875.41,0.0792,0.6313
2022-06-24,sh.600000,6.76402742,6.77251428,6.73007998,6.7470537,23665322,188294112.85,0.0806,-0.2509
2022-06-27,sh.600000,6.7470537,6.79797486,6.73856684,6.76402742,24067719,192131005.85,0.082,0.2516
2022-06-28,sh.600000,6.76402742,6.82343544,6.75554056,6.82343544,25729078,205871661.67,0.0877,0.8783
2022-06-29,sh.600000,6.79797486,6.84040916,6.789488,6.8319223,30299747,243477295.24,0.1032,0.1244
2022-06-30,sh.600000,6.8319223,6.84040916,6.789488,6.79797486,23369617,187691079.94,0.0796,-0.4969
2022-07-01,sh.600000,6.79797486,6.82343544,6.77251428,6.78100114,17846787,142651655.17,0.0608,-0.2497
2022-07-04,sh.600000,6.78100114,6.789488,6.73856684,6.75554056,18222009,145047089.17,0.0621,-0.3755
2022-07-05,sh.600000,6.75554056,6.789488,6.73856684,6.77251428,21322243,169924262.91,0.0726,0.2513
2022-07-06,sh.600000,6.76402742,6.77251428,6.67915882,6.7046194,28829658,227963132.47,0.0982,-1.0025
2022-07-07,sh.600000,6.68764568,6.72159312,6.67067196,6.67915882,18636395,147034169.93,0.0635,-0.3797
2022-07-08,sh.600000,6.7046194,6.7046194,6.67915882,6.68764568,12379190,97665056.88,0.0422,0.1271
2022-07-11,sh.600000,6.67915882,6.7046194,6.67067196,6.67915882,16195472,127636556.97,0.0552,-0.1269
2022-07-12,sh.600000,6.67067196,6.73856684,6.67067196,6.71310626,19889798,157433751.92,0.0678,0.5083
2022-07-13,sh.600000,6.73007998,6.73856684,6.6621851,6.6621851,30506523,240374854.35,0.1039,-0.7585
2022-07-14,sh.600000,6.65369824,6.67067196,6.5773165,6.61126394,40565878,315441408.76,0.1382,-0.7643
2022-07-15,sh.600000,6.58580336,6.6197508,6.4924479,6.50942162,47127632,364457390.78,0.1606,-1.5404
2022-07-18,sh.600000,6.51790848,6.61126394,6.51790848,6.61126394,25164232,195287190.73,0.0857,1.5645
2022-07-19,sh.600000,6.61126394,6.63672452,6.59429022,6.62823766,28872304,224891813.35,0.0984,0.2567
2022-07-20,sh.600000,6.6621851,6.6621851,6.59429022,6.61126394,39713402,309465405.69,0.1353,-0.2561
2022-07-21,sh.600000,6.629179,6.63813735,6.56647055,6.56647055,41541585,305408212.22,0.1415,-0.6775
2022-07-22,sh.600000,6.5754289,6.6112623,6.5754289,6.58438725,19660796,144713989.75,0.067,0.2729
2022-07-25,sh.600000,6.56647055,6.6112623,6.56647055,6.58438725,17093960,125744844.46,0.0582,0.0
2022-07-26,sh.600000,6.5933456,6.62022065,6.5754289,6.6112623,18730569,138030623.4,0.0638,0.4082
2022-07-27,sh.600000,6.5933456,6.60230395,6.56647055,6.5754289,17036417,125085329.43,0.058,-0.542
2022-07-28,sh.600000,6.58438725,6.60230395,6.5575122,6.56647055,21524372,158047423.27,0.0733,-0.1362
2022-07-29,sh.600000,6.58438725,6.58438725,6.47688705,6.5037621,43873316,319838541.19,0.1495,-0.955
2022-08-01,sh.600000,6.5037621,6.5216788,6.45897035,6.47688705,24438011,176997248.68,0.0833,-0.4132
2022-08-02,sh.600000,6.4679287,6.4679287,6.33355345,6.3962619,40986083,291570126.84,0.1396,-1.2448
2022-08-03,sh.600000,6.38730355,6.42313695,6.33355345,6.33355345,28144846,199887999.49,0.0959,-0.9804
2022-08-04,sh.600000,6.35147015,6.3604285,6.3245951,6.35147015,21294463,150760431.0,0.0725,0.2829
2022-08-05,sh.600000,6.35147015,6.4320953,6.3425118,6.40522025,22554203,160555049.0,0.0768,0.8463
2022-08-08,sh.600000,6.42313695,6.4320953,6.3783452,6.3783452,12981219,92667054.0,0.0442,-0.4196
2022-08-09,sh.600000,6.38730355,6.40522025,6.3604285,6.3783452,13023820,92757272.0,0.0444,0.0
2022-08-10,sh.600000,6.3783452,6.38730355,6.3425118,6.35147015,11674742,82872444.0,0.0398,-0.4213
2022-08-11,sh.600000,6.3783452,6.44105365,6.3604285,6.4320953,21910821,156858352.0,0.0746,1.2694
2022-08-12,sh.600000,6.44105365,6.5037621,6.42313695,6.4858454,22253354,160666706.0,0.0758,0.8357
